text,label,notes
"Am I crazy, or maybe biased, for thinking that neither of the Scotland penalty shouts should have been called? There's barely any contact",reaction,
"The worst thing VAR has done is make everyone go crazy when fouls aren't given for borderline minimal contact decisions. The first couple of years of VAR they were way too likely to give penalties for microscopic contact on players. Now they're trying to move away from that to make the threshold for contact much higher, which is the right thing to do. They just should have done it this way to start with.
",reaction,reaction + analysis
I love Big Dunc as a pundit. He's like Limmy's plasterer character,hot_take,
"Scotland under Clarke quite honestly serve up shite football in major tournaments, but the fact they’ve made 3 major tournaments under him is enough to keep him. It’s a bit of an awkward one. Plus they’ve usually been in tough groups.
",reaction,
A lot of these matches involve 1 team scoring a few goals in the first half and then parking the bus for 45+ minutes and I'm getting really really tired of it,analysis,reaction + analysis
I have been wrong about every game I'd think would be interesting so far lmao,reaction,
England v Croatia was the biggest shocker. Probably the most entertaining match so far,reaction,
"God i cant stand steve clarke, this team selection is pants",hot_take,
"I’m in love with that Saibari goal, proper world cup goal. Rest of the match was dire though",hot_take,
"Some of the refs in this tournament having been treating their games like the thunderdome. There are no rules. Nothing is a foul. If you die, you die.
",hot_take,
Watching a game where the referee is completely biased against a side you hate hits like crack,hot_take,
"Alright this is a dumb question, but assuming Türkiye win today, isn't there a scenario where they could win by something ludicrous like 20-0 (I know this doesn't actually happen, just for the hypothetical) and push us out of the best 3rd placers, meaning it's not mathematically secure? Because head 2 head each of the top 3 in our group would have won against each other so it would go to goal difference? only asking because most news outlets are reporting it as mathematically secured",analysis,
"5 points mathematically secures you qualification, it's not possible for 8 3rd placers to get 5 points i believe",analysis,
"Good brain teaser tbh, maths is not my strong point but if there’s a draw in the group then I’m fairly sure it’s mathematically impossible for 3rd place to have more than 5 points. Plenty of groups have had draws so it’s mathematically impossible for the US to not qualify. The only scenario where 3rd can be on 6 pts is if the top 2 are on 6 pts
",analysis,
"So I watched the replay and I don’t understand why Australia didn’t get a penalty when irankunda went up for the header, then the defender pushed him and the ball just falls straight onto the Americans arms. It’s not a natural position since he’s pushing the opponent and the ball had been skied so not a deflection. I think the only reason it wasn’t given was because no one appealed",analysis,
"IIRC it was headed down onto his arm from very close range. And putting your hands on an opponent when you’re contesting a 50/50 is usually considered natural position unless it’s enough for a penalty, which this wasn’t.",analysis,
"literally no one thought that. US were clearly the best one in the group, Turkey being overrated in my opinion.",reaction,
"If Scotland wins we'll witness history, they will advance out of a group for the first time ever.",reaction,
They are very tactically sound. Just as much as any other team. Also super creative. It will be really interesting to see them face a team that can really put them on the back foot,reaction,
"I know this is a weird complaint but one thing I dislike about the expansion is that getting out of groups is now as good as making it to the WC in the first place (top 32). And that's ignoring how much weaker the groups obviously are. Seeing these group stage / advancement stats bothers me when things are this severely out of balance compared to the past.
",reaction,reaction + analysis
I'm honestly more checked out of the groups than I've ever been (time zone and number of games big factors too). Hoping R32 onwards are hype,reaction,
"Helps that they're playing (comparatively) weak opponents, though. The entire plan is built around quick transitions and a bit of chaos in midfield, because they don't have the players there to control possession and build patiently. That can be really dangerous in an attacking sense (as we're seeing), but it's also dangerous in a defensive sense: A team better at counterpressing them might well carve them open quite easily.
",analysis,
"The non-penalty call is insane, even worse than Mbappe's. It's not even a 99/1, it should be called 100% of the time.",hot_take,
Shocking game but probably the most fun I’ve had watching outside of the Sweden game. The ref when announcing the red card had me in tears.,reaction,
I was praying for Deniz Gul to come in and save Turkey from being eliminated at the World Cup.. So now we’re stuck with him in Porto for another year... no Turkish club will fall into the trap of buying this flop,reaction,
This Turkey performance reminded me of 2022 and 2018 spain but worse,reaction,
lol this ref is so unbothered,hot_take,
i sense a goal coming shortly.,reaction,
You can tell that Curaçao is tired.,reaction,
LOL ref crazy for this one,hot_take,
Absolute disappointment of a World Cup for t Ecuador. YOU WERRE SUPPOSED TO BE A POWERHOUSE,hot_take,
Damn these refs are just making sure Ecuador loses,reaction,
This ref just letting everything go,reaction,
"I like this ref, keep the game going back and forth",reaction,
This game is making me question my understanding of what a foul is lol,reaction,
"Its so funny that they still fall over at the slightest touch and pretend to be hurt, even after 77 minutes of the ref ignoring their bullshit. Would think that at some point they would learn that it would be better to keep playing.",reaction,
"If it wasn’t for Room, it’s like, 6-0",reaction,
Columbus Crew legend Room,hot_take,
"The record for the most saves in a single FIFA World Cup game is 16 saves, set by United States goalkeeper Tim Howard against Belgium during the 2014 World Cup Round of 16.",analysis,
"Bless the ref, he's just letting them play.",reaction,
15 saves on the night so far is crazy,reaction,
Oh no Tim Howard record at risk of being broken,reaction,
That’s one of the coolest saves I’ve ever seen,reaction,
Ecuador please score I love you,reaction,
Crazy that they played without goalkeepers before 1966,reaction,
No doubt who is getting MoTM award.,hot_take,
I feel like there's been a FIFA refereeing directive to allow physical tussles (to an extent) so that the games aren't constantly stopping,analysis,
It’ll be great if these idiots shot anywhere but straight at the keeper,hot_take,
"Even if Curacao had one man less, Ecuador would not score",hot_take,
"I blame the coach and the federation for the performance of Ecuador, there needs to be change.",hot_take,
How did this goalie get scored on 7 times jesus,reaction,
This is it for Ecuador. Now or never,hot_take,
Ecuador might as well give it up Eloy Room gave up all the goals vs Germany nothing is getting by him now.,hot_take,
Seems like a big drop off in the Curacao attacking subs unfortunately.,hot_take,
oh but against Germany keeper ate 7 lmaoooo,hot_take,
"This World Cup is somehow setting the record for most red cards, but it also seems like theyve been letting way more go then usual too - no middle ground.",analysis,
Yo I love this version of reffing. These refs this tournament aren’t giving out anything and any foul that gets called is being 100% earned.,reaction,
"Agree, ref is to make sure game doesnt get out of hand, game flows much better without constant whistle",reaction,
The Curaçao goalie is going to be like the Cape Verde goalie.,hot_take,
They just let coaches wear whatever they want these days don’t they lol,reaction,
Ref needs to start carding simulation,reaction,
"idc that he’s 37, some big club give him a contract rn, even 2 years as the 3rd keeper",reaction,
"Ref is consistent and not calling flops, love it",reaction,
Awful ball from Caicedo,hot_take,
"Argentina winning 4 years ago did mask that Brazil was bounced in the quarters, Uruguay and Ecuador couldn't get out of the group, and Peru lost the playoff which was the first time South America lost that playoff in 16 years. This on paper is one of the worst teams Brazil has sent to a WC in my lifetime, Uruguay is still good but has kinda stagnated and Chile is a dumpster fire right now. Bolivia being able to grab the playoff spot (only to lose to Iraq) is further indictment of the region IMO. South America is down right now",analysis,
Kastaneer is built like a boulder,hot_take,
Convince me Kastaneer isnt an enforcer they pulled from the stands,reaction,
